"飯店縣市","入住日期","退房日期","訂房日期","訂房數量","交易金額","歲數","性別","所在地址","IsForeigner"
"台南市",2014/01/05,2014/01/06,"2014/1/1 下午 03:26:01",1,2499,41,"男","桃園縣","本國"
"台南市",2014/02/14,2014/02/15,"2014/1/1 下午 10:10:01",1,4480,53,"男","台北市","本國"
"台北市",2014/01/25,2014/01/27,"2014/1/1 下午 11:29:01",2,12000,30,"女","台中市","本國"
"台北市",2014/01/25,2014/01/27,"2014/1/1 下午 11:42:01",1,6000,30,"女","新北市","本國"
"台南市",2014/01/24,2014/01/25,"2014/1/10 上午 11:54:10",1,3780,53,"男","桃園縣","本國"
"台北市",2014/01/20,2014/01/21,"2014/1/10 上午 11:58:44",1,2900,50,"女","新北市","本國"
"台南市",2014/01/15,2014/01/16,"2014/1/10 上午 12:50:10",1,6880,52,"男","彰化縣","本國"
"台南市",2014/01/26,2014/01/27,"2014/1/10 下午 02:04:10",1,3500,52,"女","新北市","本國"
"台南市",2014/02/10,2014/02/12,"2014/1/10 下午 02:36:10",1,7000,46,"女","台北市","本國"
"台南市",2014/01/22,2014/01/23,"2014/1/10 下午 04:35:10",1,2800,46,"女","台南市","本國"
"台北市",2014/01/24,2014/01/26,"2014/1/11 上午 11:07:11",1,6200,28,"女","台北市","本國"
"台南市",2014/01/22,2014/01/23,"2014/1/11 下午 05:04:11",1,3000,50,"男","屏東縣","本國"
"台南市",2014/01/20,2014/01/21,"2014/1/11 下午 05:57:11",1,2499,46,"男","台北市","本國"
"台北市",2014/01/26,2014/01/27,"2014/1/11 下午 07:08:11",1,2900,28,"女","新北市","本國"
"台南市",2014/01/14,2014/01/15,"2014/1/12 上午 09:14:12",2,7000,59,"女","基隆市","本國"
"台北市",2014/01/23,2014/01/24,"2014/1/12 上午 09:28:29",1,2900,36,"女","新竹縣","本國"
"台南市",2014/02/06,2014/02/07,"2014/1/12 下午 02:30:12",5,17500,49,"女","新北市","本國"
"台南市",2014/01/29,2014/01/30,"2014/1/13 上午 09:24:13",1,3780,54,"女","桃園縣","本國"
"台南市",2014/01/22,2014/01/23,"2014/1/13 上午 09:29:13",1,3000,69,"女","彰化縣","本國"
"台南市",2014/01/17,2014/01/18,"2014/1/13 上午 11:33:50",1,3000,46,"女","新北市","本國"
"台北市",2014/02/26,2014/02/28,"2014/1/13 下午 01:28:13",1,7600,52,"女","新北市","本國"
"台南市",2014/02/08,2014/02/09,"2014/1/13 下午 02:01:13",1,4000,39,"男","台中市","本國"
"台南市",2014/01/17,2014/01/18,"2014/1/13 下午 04:31:32",1,6160,44,"女","苗粟縣","本國"
"台北市",2014/01/19,2014/01/20,"2014/1/13 下午 10:08:13",1,3800,52,"男","嘉義縣","本國"
"台南市",2014/01/22,2014/01/24,"2014/1/13 下午 10:19:13",1,8792,49,"男","高雄市","本國"
"台北市",2014/01/28,2014/02/01,"2014/1/14 下午 11:24:14",3,35400,46,"男","苗粟縣","本國"
"台南市",2014/01/22,2014/01/23,"2014/1/15 上午 11:25:15",1,3000,43,"女","彰化縣","本國"
"台南市",2014/02/14,2014/02/15,"2014/1/15 下午 04:58:15",1,2499,36,"女","台中市","本國"
"台南市",2014/02/07,2014/02/08,"2014/1/15 下午 05:50:36",1,3500,56,"女","高雄市","本國"
"臺東縣",2014/01/26,2014/01/27,"2014/1/15 下午 09:00:15",1,1800,47,"男","台北市","本國"
"台南市",2014/01/22,2014/01/23,"2014/1/16 上午 04:05:16",1,3990,49,"男","高雄市","本國"
"台南市",2014/01/22,2014/01/23,"2014/1/16 上午 10:48:16",1,3990,36,"女","桃園縣","本國"
"台南市",2014/02/08,2014/02/09,"2014/1/16 下午 11:04:16",1,4000,40,"男","高雄市","本國"
"台南市",2014/01/20,2014/01/21,"2014/1/17 上午 08:59:22",1,3000,49,"男","新北市","本國"
"台南市",2014/01/27,2014/01/28,"2014/1/17 上午 09:07:24",1,3500,45,"男","新竹縣","本國"
"台南市",2014/01/20,2014/01/21,"2014/1/17 上午 09:13:56",1,3000,49,"男","基隆市","本國"
"台南市",2014/02/12,2014/02/13,"2014/1/17 下午 04:56:17",1,6160,47,"女","苗粟縣","本國"
"台南市",2014/01/23,2014/01/24,"2014/1/17 下午 06:12:17",1,5760,51,"女","高雄市","本國"
"台南市",2014/01/20,2014/01/21,"2014/1/17 下午 08:10:17",1,5800,64,"女","台北市","本國"
"台北市",2014/04/14,2014/04/16,"2014/1/17 下午 12:28:17",1,5800,42,"女","新北市","本國"
"台南市",2014/02/14,2014/02/15,"2014/1/18 上午 12:31:18",1,2499,35,"女","非台灣地區","外國"
"台南市",2014/02/14,2014/02/15,"2014/1/18 下午 06:23:18",2,6000,38,"女","新竹市","本國"
"台南市",2014/01/27,2014/01/30,"2014/1/19 下午 10:53:19",1,7497,49,"男","新北市","本國"
"台北市",2014/02/27,2014/03/02,"2014/1/19 下午 10:59:19",1,9100,43,"男","苗粟縣","本國"
"台北市",2014/01/15,2014/01/16,"2014/1/2 上午 02:23:02",1,2900,32,"女","高雄市","本國"
"花蓮縣",2014/01/28,2014/01/29,"2014/1/2 上午 10:11:02",1,2880,46,"女","桃園縣","本國"
"台南市",2014/01/23,2014/01/24,"2014/1/2 上午 10:28:02",1,3000,50,"女","新竹縣","本國"
"台南市",2014/01/29,2014/01/30,"2014/1/2 下午 01:12:16",1,3300,65,"男","新北市","本國"
"花蓮縣",2014/01/11,2014/01/12,"2014/1/2 下午 02:42:02",1,3840,49,"男","台中市","本國"
"台南市",2014/01/10,2014/01/11,"2014/1/2 下午 02:44:02",1,3500,39,"男","非台灣地區","外國"
"台南市",2014/02/04,2014/02/05,"2014/1/2 下午 06:05:02",1,3300,44,"女","新北市","本國"
"台南市",2014/01/22,2014/01/23,"2014/1/20 上午 01:15:20",1,5800,48,"男","新北市","本國"
"台南市",2014/01/27,2014/01/29,"2014/1/20 上午 09:30:57",1,4998,46,"女","桃園縣","本國"
"台南市",2014/02/04,2014/02/05,"2014/1/20 上午 10:36:46",1,4480,49,"男","台南市","本國"
"台北市",2014/04/01,2014/04/04,"2014/1/20 上午 11:23:20",1,11400,48,"女","台中市","本國"
"台南市",2014/01/27,2014/01/30,"2014/1/20 上午 12:03:20",1,7497,49,"女","非台灣地區","外國"
"台南市",2014/01/28,2014/01/30,"2014/1/20 下午 01:56:20",1,7000,40,"男","台中市","本國"
"台南市",2014/02/16,2014/02/17,"2014/1/20 下午 03:30:00",1,2800,42,"男","新北市","本國"
"台南市",2014/01/23,2014/01/24,"2014/1/20 下午 04:10:20",1,5760,46,"女","台北市","本國"
"台南市",2014/02/06,2014/02/07,"2014/1/20 下午 08:17:20",1,3000,41,"女","彰化縣","本國"
"台北市",2014/02/18,2014/02/20,"2014/1/21 上午 08:16:21",1,5800,59,"女","台北市","本國"
"台南市",2014/01/29,2014/01/30,"2014/1/21 上午 10:47:21",1,3500,58,"男","台中市","本國"
"台南市",2014/01/23,2014/01/24,"2014/1/21 下午 01:09:24",1,3000,52,"男","嘉義縣","本國"
"台南市",2014/01/28,2014/01/29,"2014/1/21 下午 07:50:21",1,5760,50,"女","新北市","本國"
"台南市",2014/01/27,2014/01/28,"2014/1/21 下午 09:23:21",1,5760,47,"女","台中市","本國"
"台北市",2014/01/29,2014/02/02,"2014/1/22 上午 03:50:22",1,13220,46,"男","雲林縣","本國"
"台南市",2014/01/26,2014/01/27,"2014/1/22 上午 11:10:22",1,3780,49,"女","台北市","本國"
"台南市",2014/01/26,2014/01/27,"2014/1/22 下午 01:18:22",2,7560,39,"女","台南市","本國"
"台南市",2014/02/05,2014/02/06,"2014/1/22 下午 03:23:19",1,4480,29,"男","高雄市","本國"
"台南市",2014/02/14,2014/02/15,"2014/1/22 下午 03:27:25",1,5800,46,"女","台中市","本國"
"台南市",2014/02/06,2014/02/07,"2014/1/22 下午 09:45:22",1,3000,42,"女","桃園縣","本國"
"台北市",2014/01/26,2014/01/27,"2014/1/22 下午 12:48:22",1,3800,52,"男","新北市","本國"
"台南市",2014/02/07,2014/02/08,"2014/1/23 下午 03:11:35",1,3300,46,"男","新北市","本國"
"台南市",2014/01/27,2014/01/28,"2014/1/24 下午 05:47:24",1,3780,45,"男","高雄市","本國"
"臺東縣",2014/03/07,2014/03/08,"2014/1/24 下午 05:57:03",1,3360,41,"男","新北市","本國"
"台南市",2014/01/29,2014/01/30,"2014/1/24 下午 06:01:11",1,5760,48,"男","台北市","本國"
"台南市",2014/01/27,2014/01/28,"2014/1/24 下午 08:37:59",1,3500,44,"男","基隆市","本國"
"台南市",2014/01/29,2014/01/30,"2014/1/24 下午 11:06:24",1,3500,45,"女","新北市","本國"
"台北市",2014/03/01,2014/03/02,"2014/1/25 上午 10:21:25",1,3100,40,"男","高雄市","本國"
"台南市",2014/03/07,2014/03/08,"2014/1/25 下午 03:51:25",1,2800,52,"女","新北市","本國"
"台南市",2014/01/27,2014/01/28,"2014/1/25 下午 05:36:25",1,3780,47,"男","新北市","本國"
"台南市",2014/02/13,2014/02/14,"2014/1/26 下午 06:01:26",1,2499,33,"女","非台灣地區","外國"
"台北市",2014/01/28,2014/01/29,"2014/1/26 下午 12:55:26",1,3800,36,"女","新北市","本國"
"台南市",2014/02/09,2014/02/10,"2014/1/27 下午 03:59:27",1,5800,47,"男","台北市","本國"
"台北市",2014/03/28,2014/03/30,"2014/1/27 下午 10:42:27",1,6200,37,"男","台中市","本國"
"台南市",2014/02/09,2014/02/10,"2014/1/27 下午 10:56:27",2,7000,44,"男","台北市","本國"
"台南市",2014/02/09,2014/02/10,"2014/1/27 下午 11:00:27",1,3500,44,"男","台北市","本國"
"台南市",2014/02/11,2014/02/12,"2014/1/27 下午 12:07:27",1,3000,67,"男","台中市","本國"
"台中市",2014/02/01,2014/02/02,"2014/1/28 下午 04:06:28",1,4300,53,"男","非台灣地區","外國"
"台中市",2014/02/01,2014/02/02,"2014/1/28 下午 04:10:28",2,7600,53,"女","新北市","本國"
"花蓮縣",2014/02/15,2014/02/16,"2014/1/28 下午 08:01:28",1,3840,37,"女","非台灣地區","外國"
"台南市",2014/02/05,2014/02/06,"2014/1/28 下午 10:48:28",1,4480,46,"女","台北市","本國"
"台南市",2014/02/06,2014/02/07,"2014/1/29 上午 11:07:03",1,3000,49,"女","台北市","本國"
"台南市",2014/02/07,2014/02/08,"2014/1/29 上午 11:08:43",1,4480,43,"女","台北市","本國"
"台南市",2014/02/16,2014/02/17,"2014/1/29 下午 01:46:29",1,3500,42,"女","桃園縣","本國"
"花蓮縣",2014/02/11,2014/02/12,"2014/1/29 下午 11:19:29",1,2880,51,"女","桃園縣","本國"
"花蓮縣",2014/03/01,2014/03/02,"2014/1/3 上午 10:41:03",1,4320,46,"女","桃園縣","本國"
"花蓮縣",2014/01/13,2014/01/14,"2014/1/3 上午 12:35:03",1,2880,40,"男","新北市","本國"
"台南市",2014/01/03,2014/01/04,"2014/1/3 下午 01:25:38",1,3500,35,"男","高雄市","本國"
"台南市",2014/02/28,2014/03/01,"2014/1/3 下午 02:18:03",2,8000,37,"女","新北市","本國"
"台北市",2014/01/27,2014/01/30,"2014/1/3 下午 03:03:03",1,8700,34,"女","非台灣地區","外國"
"台南市",2014/01/24,2014/01/26,"2014/1/3 下午 04:17:21",1,7500,34,"女","非台灣地區","外國"
"台南市",2014/01/08,2014/01/09,"2014/1/3 下午 05:03:22",1,2499,52,"女","台南市","本國"
"台南市",2014/01/12,2014/01/13,"2014/1/3 下午 11:11:03",1,3780,43,"男","新竹縣","本國"
