City,Checkin Date,Checkout Date,Booked Time,Quantity,Amount,Age,Gender,Hometown,isForeigner
west,2014-01-05,2014-01-06,2014-01-01 15:26:01,1,2499,41,male,highest,no
west,2014-02-14,2014-02-15,2014-01-01 22:10:01,1,4480,53,male,highest,no
city,2014-01-25,2014-01-27,2014-01-01 23:29:01,2,12000,30,female,high,no
city,2014-01-25,2014-01-27,2014-01-01 23:42:01,1,6000,30,female,high,no
west,2014-01-24,2014-01-25,2014-01-10 11:54:10,1,3780,53,male,highest,no
city,2014-01-20,2014-01-21,2014-01-10 11:58:44,1,2900,50,female,high,no
west,2014-01-15,2014-01-16,2014-01-10 00:50:10,1,6880,52,male,lowest,no
west,2014-01-26,2014-01-27,2014-01-10 14:04:10,1,3500,52,female,high,no
west,2014-02-10,2014-02-12,2014-01-10 14:36:10,1,7000,46,female,highest,no
west,2014-01-22,2014-01-23,2014-01-10 16:35:10,1,2800,46,female,low,no
city,2014-01-24,2014-01-26,2014-01-11 11:07:11,1,6200,28,female,highest,no
west,2014-01-22,2014-01-23,2014-01-11 17:04:11,1,3000,50,male,low,no
west,2014-01-20,2014-01-21,2014-01-11 17:57:11,1,2499,46,male,highest,no
city,2014-01-26,2014-01-27,2014-01-11 19:08:11,1,2900,28,female,high,no
west,2014-01-14,2014-01-15,2014-01-12 09:14:12,2,7000,59,female,highest,no
city,2014-01-23,2014-01-24,2014-01-12 09:28:29,1,2900,36,female,highest,no
west,2014-02-06,2014-02-07,2014-01-12 14:30:12,5,17500,49,female,high,no
west,2014-01-29,2014-01-30,2014-01-13 09:24:13,1,3780,54,female,highest,no
west,2014-01-22,2014-01-23,2014-01-13 09:29:13,1,3000,69,female,lowest,no
west,2014-01-17,2014-01-18,2014-01-13 11:33:50,1,3000,46,female,high,no
city,2014-02-26,2014-02-28,2014-01-13 13:28:13,1,7600,52,female,high,no
west,2014-02-08,2014-02-09,2014-01-13 14:01:13,1,4000,39,male,high,no
west,2014-01-17,2014-01-18,2014-01-13 16:31:32,1,6160,44,female,others,no
city,2014-01-19,2014-01-20,2014-01-13 22:08:13,1,3800,52,male,low,no
west,2014-01-22,2014-01-24,2014-01-13 22:19:13,1,8792,49,male,high,no
city,2014-01-28,2014-02-01,2014-01-14 23:24:14,3,35400,46,male,others,no
west,2014-01-22,2014-01-23,2014-01-15 11:25:15,1,3000,43,female,lowest,no
west,2014-02-14,2014-02-15,2014-01-15 16:58:15,1,2499,36,female,high,no
west,2014-02-07,2014-02-08,2014-01-15 17:50:36,1,3500,56,female,high,no
east,2014-01-26,2014-01-27,2014-01-15 21:00:15,1,1800,47,male,highest,no
west,2014-01-22,2014-01-23,2014-01-16 04:05:16,1,3990,49,male,high,no
west,2014-01-22,2014-01-23,2014-01-16 10:48:16,1,3990,36,female,highest,no
west,2014-02-08,2014-02-09,2014-01-16 23:04:16,1,4000,40,male,high,no
west,2014-01-20,2014-01-21,2014-01-17 08:59:22,1,3000,49,male,high,no
west,2014-01-27,2014-01-28,2014-01-17 09:07:24,1,3500,45,male,highest,no
west,2014-01-20,2014-01-21,2014-01-17 09:13:56,1,3000,49,male,highest,no
west,2014-02-12,2014-02-13,2014-01-17 16:56:17,1,6160,47,female,others,no
west,2014-01-23,2014-01-24,2014-01-17 18:12:17,1,5760,51,female,high,no
west,2014-01-20,2014-01-21,2014-01-17 20:10:17,1,5800,64,female,highest,no
city,2014-04-14,2014-04-16,2014-01-17 12:28:17,1,5800,42,female,high,no
west,2014-02-14,2014-02-15,2014-01-18 00:31:18,1,2499,35,female,foreign,yes
west,2014-02-14,2014-02-15,2014-01-18 18:23:18,2,6000,38,female,highest,no
west,2014-01-27,2014-01-30,2014-01-19 22:53:19,1,7497,49,male,high,no
city,2014-02-27,2014-03-02,2014-01-19 22:59:19,1,9100,43,male,others,no
city,2014-01-15,2014-01-16,2014-01-02 02:23:02,1,2900,32,female,high,no
east,2014-01-28,2014-01-29,2014-01-02 10:11:02,1,2880,46,female,highest,no
west,2014-01-23,2014-01-24,2014-01-02 10:28:02,1,3000,50,female,highest,no
west,2014-01-29,2014-01-30,2014-01-02 13:12:16,1,3300,65,male,high,no
east,2014-01-11,2014-01-12,2014-01-02 14:42:02,1,3840,49,male,high,no
west,2014-01-10,2014-01-11,2014-01-02 14:44:02,1,3500,39,male,foreign,yes
west,2014-02-04,2014-02-05,2014-01-02 18:05:02,1,3300,44,female,high,no
west,2014-01-22,2014-01-23,2014-01-20 01:15:20,1,5800,48,male,high,no
west,2014-01-27,2014-01-29,2014-01-20 09:30:57,1,4998,46,female,highest,no
west,2014-02-04,2014-02-05,2014-01-20 10:36:46,1,4480,49,male,low,no
city,2014-04-01,2014-04-04,2014-01-20 11:23:20,1,11400,48,female,high,no
west,2014-01-27,2014-01-30,2014-01-20 00:03:20,1,7497,49,female,foreign,yes
west,2014-01-28,2014-01-30,2014-01-20 13:56:20,1,7000,40,male,high,no
west,2014-02-16,2014-02-17,2014-01-20 15:30:00,1,2800,42,male,high,no
west,2014-01-23,2014-01-24,2014-01-20 16:10:20,1,5760,46,female,highest,no
